name,original_name,nationalities,painting_schools,art_movements,birth_date,death_date
,,,,,0001-01-01,0001-01-01
ancient egypt,Ancient Egypt,egyptian,,early dynastic period;old kingdom;1st intermediate period;middle kingdom;2nd intermediate period;new kingdom;amarna period;3rd intermediate period;late period;ptolemaic period,0001-01-01,0001-01-01
fayum portrait,Fayum mummy portraits,egyptian,,roman period,0001-01-01,0001-01-01
ancient greek pottery,Ancient Greek Pottery,greek;italian;turkish;bulgarian;macedonian;serbian;croatian,,geometric period;archaic period;classical period;hellenistic period,0001-01-01,0001-01-01
ancient greek painting and sculpture,Ancient Greek Painting and Sculpture,greek;italian;turkish;bulgarian;macedonian;croatian;bosnian;albanian;serbian;slovenian,,archaic period;classical period;hellenistic period,0001-01-01,0001-01-01
apelles,Ἀπελλῆς (Apelles of Kos),greek,heptanese;sicyonian school,classical period;hellenistic period,0001-01-01,0001-01-01
byzantine mosaics,Byzantine Mosaics,greek;turkish;bulgarian;ukrainian;italian,,byzantine art,0001-01-01,0001-01-01
andrei rublev,Андрей Рублёв,russian,,byzantine art,0001-01-01,0001-01-01
ivan rutkovych,Ivan Rutkovych,ukrainian,zhovkva school of artists,byzantine art;baroque,0001-01-01,0001-01-01
ende,Ende,spanish,,pre romanesque art,0001-01-01,0001-01-01
facundus,Facundus,spanish,,romanesque art,0001-01-01,0001-01-01
hildegard of bingen,"Hildegardis Bingensis (Saint Hildegard, Sibyl of the Rhine)",german,,romanesque art,0001-01-01,1179-09-17
herrad of landsberg,Herrad of Landsberg,french;german,,romanesque art,0001-01-01,0001-01-01
nicholas of verdun,Nicholas of Verdun,french,mosan school,romanesque art,0001-01-01,0001-01-01
alberto sotio,Alberto Sozio,italian,spoleto school,romanesque art,0001-01-01,0001-01-01
claricia,Clarica,german,,romanesque art,0001-01-01,0001-01-01
pietro lorenzetti,Pietro Laurati,italian,sienese school,gothic art;proto renaissance,0001-01-01,0001-01-01
simone martini,Simone Martini,italian,sienese school,gothic art,0001-01-01,0001-01-01
ambrogio lorenzetti,Ambruogio Laurati,italian,sienese school,proto renaissance;gothic art,0001-01-01,1348-06-09
melchior broederlam,Melchior Broederlam,flemish,flemish school,gothic art,0001-01-01,0001-01-01
gentile da fabriano,Gentile di Nicolò di Giovanni,italian,lombard school,gothic art,0001-01-01,0001-01-01
master francke,"Meister Francke, Frater Francke",german,,gothic art,0001-01-01,0001-01-01
limbourg brothers,"Gebroeders van Limburg (Herman, Paul, and Johan)",dutch,,gothic art,0001-01-01,0001-01-01
pisanello,Antonio di Puccio Pisano (Antonio di Puccio da Cereto),italian,,gothic art;early renaissance,0001-01-01,0001-01-01
bartolome bermejo,Bartolomé de Cárdenas,spanish,,gothic art,0001-01-01,0001-01-01
viking art,Norse art,norwegian;swedish;finnish;dane;icelandic;british,,medieval art,0001-01-01,0001-01-01
cimabue,Bencivieni di Pepo (Benvenuto di Giuseppe) Giovanni Cimabue,italian,florentine school,proto renaissance,0001-01-01,0001-01-01
duccio,Duccio di Buoninsegna,italian,sienese school,proto renaissance,0001-01-01,0001-01-01
giotto,Giotto di Bondone,italian,florentine school,proto renaissance,0001-01-01,1337-01-08
paolo veneziano,Paolo da Venezia,italian,,proto renaissance,0001-01-01,0001-01-01
giovanni da milano,Giovanni di Jacopo di Guido da Caversaccio,italian,lombard school,proto renaissance,0001-01-01,0001-01-01
luca di tomme,Luca di Tommé,italian,sienese school,proto renaissance,0001-01-01,0001-01-01
cennino cennini,Cennino Cennini,italian,,proto renaissance,0001-01-01,0001-01-01
lorenzo monaco,Piero di Giovanni,italian,,early renaissance,0001-01-01,0001-01-01
filippo brunelleschi,Filippo Brunelleschi,italian,florentine school,early renaissance,0001-01-01,1446-04-15
lorenzo ghiberti,Lorenzo di Bartolo,italian,florentine school,early renaissance,0001-01-01,0001-01-01
donatello,Donato di Niccolò di Betto Bardi,italian,florentine school,early renaissance,0001-01-01,1466-12-13
fra angelico,Fra Giovanni da Fiesole (Guido di Pietro),italian,florentine school,early renaissance,0001-01-01,1455-02-18
paolo uccello,Paolo di Dono,italian,,early renaissance,0001-01-01,1475-12-10
jacopo bellini,Jacopo Bellini,italian,venetian school,early renaissance,0001-01-01,0001-01-01
masaccio,Tommaso di Ser Giovanni di Mone,italian,florentine school,early renaissance,0001-01-01,0001-01-01
leon battista alberti,Leon Battista Alberti,italian,florentine school,early renaissance,1404-02-14,1472-04-25
filippo lippi,Fra' Filippo Lippi,italian,florentine school,early renaissance,0001-01-01,1469-10-08
lo scheggia,Giovanni di ser Giovanni Guidi,italian,,early renaissance,0001-01-01,0001-01-01
domenico veneziano,Domenico di Bartolomeo,italian,florentine school,early renaissance,0001-01-01,1461-05-15
piero della francesca,Piero della Francesca,italian,,early renaissance,0001-01-01,1492-10-12
nuno goncalves,Nuno Gonçalves,portuguese,,early renaissance,0001-01-01,0001-01-01
benozzo gozzoli,Benozzo di Lese,italian,florentine school,early renaissance,0001-01-01,0001-01-01
andrea del castagno,Andrea di Bartolo di Bargilla,italian,florentine school,early renaissance,0001-01-01,1457-08-19
gentile bellini,Gentile Bellini,italian,venetian school,high renaissance;early renaissance,0001-01-01,1507-02-23
antonio del pollaiolo,Antonio di Jacopo Benci,italian,,early renaissance;high renaissance,1429-01-17,1498-02-04
antonello da messina,Antonello da Messina,italian,venetian school,early renaissance,0001-01-01,0001-01-01
francesco del cossa,Francesco del Cossa,italian,ferrara school,early renaissance,0001-01-01,0001-01-01
desiderio da settignano,Desiderio de Bartolomeo di Francesco detto Ferro,italian,,early renaissance,0001-01-01,0001-01-01
andrea mantegna,Andrea Mantegna,italian,venetian school,early renaissance;high renaissance,0001-01-01,1506-09-13
carlo crivelli,Carlo Crivelli,italian,venetian school,early renaissance,0001-01-01,0001-01-01
andrea del verrochio,Andrea di Michele di Francesco de' Cioni,italian,,early renaissance,0001-01-01,0001-01-01
sandro botticelli,Alessandro di Mariano di Vanni Filipepi,italian,florentine school,early renaissance,0001-01-01,1510-05-17
francesco botticini,Francesco di Giovanni Botticini,,,early renaissance,0001-01-01,1498-01-16
domenico ghirlandaio,Domenico di Tommaso Curradi di Doffo Bigordi,italian,florentine school,early renaissance,0001-01-01,1494-01-11
filippino lippi,Filippino Lippi,italian,,early renaissance;high renaissance,1457-04-15,1504-04-18
giovanni bellini,Giovanni Bellini,italian,venetian school,high renaissance,0001-01-01,0001-01-01
donato bramante,Donato di Pascuccio d'Antonio (Bramante Lazzari),italian,,high renaissance,0001-01-01,1514-04-11
luca signorelli,Luca d'Egidio di Ventura,italian,tuscan school,high renaissance,0001-01-01,1523-10-16
pietro perugino,Pietro Vannucci,italian,umbrian school,high renaissance,0001-01-01,0001-01-01
leonardo da vinci,Leonardo di ser Piero da Vinci,italian,,high renaissance,1452-04-15,1519-05-02
pinturicchio,Bernardino di Betto,italian,umbrian school,high renaissance,0001-01-01,0001-01-01
cima da conegliano,Giovanni Battista Cima,italian,venetian school,high renaissance,0001-01-01,0001-01-01
andrea solario,Andrea Solario (Solari),italian,milanese school,high renaissance,0001-01-01,0001-01-01
piero di cosimo,Piero di Cosimo (Piero di Lorenzo),italian,florentine school,high renaissance,1462-01-02,1522-04-12
vittore carpaccio,Vittore Carpaccio,italian,venetian school,high renaissance,0001-01-01,0001-01-01
giovanni antonio boltraffio,Giovanni Antonio Boltraffio,italian,lombard school,high renaissance,0001-01-01,0001-01-01
fra bartolomeo,Baccio della Porta,italian,florentine school,high renaissance,1472-03-28,1517-10-31
mariotto albertinelli,Mariotto di Bigio di Bindo Albertinelli,italian,florentine school,high renaissance,1474-10-13,1515-11-05
michelangelo,Michelangelo di Lodovico Buonarroti Simoni,italian,florentine school,high renaissance,1475-03-06,1564-02-18
il sodoma,Giovanni Antonio Bazzi,italian,sienese school,high renaissance,0001-01-01,1549-02-14
giorgione,Giorgio Barbarelli da Castelfranco,italian,venetian school,high renaissance,0001-01-01,0001-01-01
lorenzo lotto,Lorenzo Lotto,italian,venetian school,high renaissance,0001-01-01,0001-01-01
bartolomeo veneto,Bartolomeo Veneto,italian,,high renaissance,0001-01-01,0001-01-01
defendente ferrari,Defendente Ferrari,italian,,high renaissance,0001-01-01,0001-01-01
palma vecchio,Jacopo Palma (Jacopo Negretti),italian,,high renaissance;mannerism,0001-01-01,1528-07-30
bernardino luini,Bernardino de Scapis,italian,,high renaissance,0001-01-01,0001-01-01
raphael,Raffaello Sanzio da Urbino,italian,umbrian school,high renaissance,0001-01-01,0001-01-01
sebastiano del piombo,Sebastiano Luciani,italian,venetian school,high renaissance;mannerism,0001-01-01,1547-06-21
andrea del sarto,Andrea d'Agnolo di Francesco di Luca di Paolo del Migliore,italian,florentine school,high renaissance;mannerism,0001-01-01,0001-01-01
titian,Tiziano Vecellio,italian,venetian school,high renaissance;mannerism,0001-01-01,1576-08-27
correggio,Antonio Allegri da Correggio,italian,parma school,high renaissance;mannerism,0001-01-01,1534-03-05
dosso dossi,Giovanni di Niccolò de Luteri,italian,ferrara school,high renaissance,0001-01-01,0001-01-01
